camm_id,county_id
1,86
2,20
3,63
4,81
5,54
6,19
7,68
8,9
9,31
10,13
11,83
12,57
13,55
14,75
15,6
16,2
17,69
18,35
19,26
20,48
21,87
22,32
23,33
24,46
25,11
26,12
27,29
28,14
29,8
30,1
31,36
32,24
33,49
34,80
35,51
36,88
37,74
38,72
39,62
40,22
41,39
42,17
43,59
44,21
45,25
46,65
47,71
48,66
49,73
50,44
51,40
52,82
53,37
54,23
55,45
56,42
57,70
58,47
59,3
60,18
61,52
62,85
63,38
64,16
65,60
66,64
67,58
68,5
69,53
70,27
71,84
72,61
73,30
74,79
75,76
76,77
77,67
78,28
79,43
80,4
81,78
82,50
83,15
84,10
85,34
86,41
87,7
88,56